CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,CardHoldersName_1,OrderDollarAmount,NumItems,AvgLineItemPrice,ZipDistance,BillingShippingZipEqual,reported_as_fraud
Hu Rowe,5217630635672316,220,,28570 East Elizabeth City Ct.,Kettering,USA,183,Denton@non.gov,Hu *Rowe,667-777-3366,DC,59647,59647,Hu Rowe,4870,3,1623.3,0,1,0.00
Matthew England,5464190360536921,222,,68978 West Ukraine Ave.,Clarksville,USA,153342,Audra@Cras.gov,Matthew *England,682-590-1968,ME,13617,13617,Matthew England,1188,2,550,0,1,0.00
Stone Mckee,4898259887410339,320,,88219  Antarctica Way,Culver City,USA,371764,Cedric@magnis.org,Indigo *Maddox,664-294-5520,WV,68418,78237,Stone Mckee,4101.8,5,777.6,789,0,1.00
Kessie Alexander,5202726621179055,1121,,18128 South Italy Ln.,DuBois,USA,103002,Melodie@Sed.org,Kessie *Alexander,430-697-2734,AZ,50008,50008,Kessie Alexander,2334.7,4,545.5,0,1,0.00
Burke Christian,5447469010541040,619,,42384 East Glendora St.,Newport,USA,210,Hamilton@vestibulum.gov,Burke *Christian,963-005-9847,IN,71547,71547,Burke Christian,6927.5,3,2173.3,,1,1.00
Kathleen Fleming,4716769475017684,620,,77713 West Cyprus Way,Charleston,USA,761834,Ina@luctus.org,Kathleen *Fleming,819-724-8898,SC,91746,91746,Kathleen Fleming,2812.2,3,860,0,1,1.00
Echo Carrillo,4634224850611460,420,,48697  Amesbury Ct.,Daly City,USA,790742,Lewis@mus.edu,Echo *Carrillo,629-617-9511,DE,29828,29828,Echo Carrillo,476.3,3,147,0,1,0.00
Kareem Allison,5253981462152467,321,,93181 South Newport Beach Ln.,Port Washington,USA,289572,Macon@aptent.us,Brenden *Murray,852-532-7350,WI,1120,23092,Kareem Allison,65.9,2,31,,0,0.00
Isadora Tran,4532893289704162,719,,16652 South College Station Way,Helena,USA,732007,Kay@sociis.edu,Isadora *Tran,850-712-2757,MI,27437,27437,Isadora Tran,1397.2,3,438.3,,1,1.00
Martena Cleveland,5521097756547167,1019,,19634 East Niger Blvd.,Owensboro,USA,168554,Irene@dictum.org,Andrew *Adams,468-884-3636,IA,95094,94098,Martena Cleveland,,0,,,0,0.00
Graiden Tran,5502070906723296,1018,,5076 East China Ct.,Reading,USA,148254,Meghan@tortor.org,Imelda *Wood,309-046-6437,FL,8863,3332,Graiden Tran,9202,5,1720,,0,1.00
Veda Moran,371172809446733,418,,39514 East Costa Rica Ct.,Pierre,USA,882253,Abdul@Class.gov,Zenia *Adams,797-019-1302,NE,66496,65212,Veda Moran,425,2,200,,0,0.00
Mikayla Summers,4916971328345431,320,,57386 West Chicopee Way,Manhattan Beach,USA,440028,Alec@Aenean.com,Mikayla *Summers,862-487-2107,LA,50739,50739,Mikayla Summers,398.4,3,125,,1,0.00
Kasimir Espinoza,5121144242744695,1019,,96692  Monaco Ave.,Lowell,USA,193088,Jin@netus.us,Ray *Hines,453-559-3018,HI,26907,87148,Kasimir Espinoza,3625.2,3,1137.3,,0,1.00
Constance Robbins,4485537638517133,1122,,83597 East East Hartford Ct.,Galesburg,USA,605708,Palmer@senectus.edu,Constance *Robbins,117-270-5504,CO,59147,59147,Constance Robbins,1180.4,2,555.5,,1,0.00
Jescie Smith,371601019035704,1121,,46117 South Helena St.,Murray,USA,881432,Finn@felis.us,Jescie *Smith,353-469-2877,AZ,40491,40491,Jescie Smith,446.2,3,140,,1,1.00
Josiah Shaffer,4539153856284160,719,,49734 South Moldova St.,Bowie,USA,512470,Cherokee@augue.net,Alexander *Price,536-954-2888,DC,7541,89583,Josiah Shaffer,3315,2,1560,,0,0.00
Kadeem Vega,5459773532348395,722,,72738 South Yemen Ct.,Huntington Park,USA,228250,Omar@nibh.org,Kadeem *Vega,252-158-3662,NH,7633,7633,Kadeem Vega,1306.9,2,615,,1,1.00
Coby White,4485716977554457,1122,,71544  Poland Ln.,Lawndale,USA,379000,Derek@habitant.edu,Evangeline *Branch,143-276-7887,IL,960,90023,Coby White,,0,,3364.8,0,0.00
Alvin Maynard,4532804844840524,1123,,70252  Champaign St.,Chula Vista,USA,566778,Kylan@habitant.com,Camille *Bass,216-724-0762,CT,72580,65674,Alvin Maynard,554.6,3,174,,0,0.00
Branden Day,4539448177873943,218,,31592 South American Samoa Blvd.,Lawrence,USA,363137,Kenyon@purus.org,Tana *Davidson,566-568-9976,CO,4321,22964,Branden Day,3633.8,3,1140,618,0,0.00
Tyler Bernard,4532292540562859,321,,75261 South Jamaica Blvd.,Parma,USA,531952,Holly@natoque.gov,Laura *Rios,266-936-8263,CT,97705,46978,Tyler Bernard,546.1,3,171.3,,0,0.00
Jessica Owen,4916105586394639,922,,20094 North Baytown Ct.,Coral Springs,USA,457635,Jael@pretium.org,Maryam *Wynn,402-276-6915,RI,60483,59865,Jessica Owen,124.3,2,58.5,,0,0.00
Tanisha Sargent,4420038788129231,1122,,51432 South Enid Way,Kokomo,USA,364634,Maggy@gravida.com,Tanisha *Sargent,754-534-2487,FL,59497,59497,Tanisha Sargent,102,3,32,,1,0.00
Olivia Hampton,4061360340206701,721,,51153 East Hanahan Ln.,Claremore,USA,744174,Belle@enim.gov,Olivia *Hampton,545-225-8436,MI,51310,51310,Olivia Hampton,3187.5,2,1500,,1,0.00
Madison Mooney,6011836000230749,522,,53652 East Atlanta Way,Duarte,USA,935613,Caldwell@placerat.gov,Price *Mathis,382-728-9207,IL,62879,54291,Madison Mooney,352.3,2,165,,0,0.00
Grace Hess,6011785822477394,921,,91537 North Turkey Ln.,Green River,USA,943401,Daniel@Praesent.edu,Armand *Morgan,737-760-3194,MA,31522,55742,Grace Hess,222.6,2,105,1268.6,0,1.00
Price Fowler,378149071997067,222,,30062 South Sweden Ln.,New Bedford,USA,869692,Angela@dis.gov,Price *Fowler,161-858-9998,IL,54862,54862,Price Fowler,1545.6,3,488.3,0,1,0.00
Odysseus Jones,340769626326242,920,,55918 South High Point Blvd.,Kalispell,USA,861915,Willa@senectus.net,Jolie *Sellers,485-694-7266,NM,33235,12154,Odysseus Jones,108.4,2,51,,0,1.00
Whilemina Carr,4539189943783327,421,,18337  Cayman Islands Blvd.,Huntington Beach,USA,577289,Hedwig@morbi.edu,Whilemina *Carr,282-721-2696,TN,89046,89046,Whilemina Carr,2718.9,5,502.8,0,1,1.00
Irma Moran,4929592613477054,420,,2969 East Fort Smith Way,International Falls,USA,630566,Martha@primis.gov,Alana *Brady,008-252-2509,DE,74353,26460,Irma Moran,207.2,2,97.5,,0,0.00
Gary Sampson,4385183374066935,423,,65763 North Garland Ct.,Grand Forks,USA,589650,Graham@Nunc.net,Willow *Henson,333-318-2830,AZ,35988,85853,Gary Sampson,3481.5,2,1597,,0,0.00
Amanda Clemons,4716752103294297,820,,56967 South Falls Church St.,Jefferson City,USA,510905,Ashton@aliquam.us,August *Wyatt,855-930-3293,UT,34697,70608,Amanda Clemons,299.6,2,140,,0,0.00
Regina Norton,4539592955336399,619,,67398 West Bowling Green Ln.,Isle of Palms,USA,785264,Alec@Fusce.gov,Regina *Norton,744-425-3358,FL,97886,97886,Regina Norton,4599,5,919.8,0,1,0.00
Matthew Bright,347498666356165,521,,20101 South Azerbaijan Way,North Chicago,USA,918766,Velma@posuere.edu,Marny *Huffman,077-126-4994,MT,70784,80063,Matthew Bright,506,2,230,,0,1.00
Audrey White,4556508279231668,721,,47858 East Barre Ln.,Wynne,USA,664029,Gray@aliquet.us,Audrey *White,361-000-1658,AZ,44080,44080,Audrey White,1014.1,3,316.7,0,1,1.00
Joelle Farrell,5576389651095473,1223,,18431 South Clovis Ln.,Oswego,USA,299239,Wylie@parturient.com,Stuart *Welch,033-272-6426,MI,71589,8110,Joelle Farrell,55.2,2,26,,0,0.00
Edan Valentine,4916710774128085,820,,21981  Pitcairn Ln.,Gilette,USA,704924,Jermaine@sagittis.com,Edan *Valentine,981-806-1455,ME,75241,75241,Edan Valentine,588.9,4,136,0,1,0.00
Hedley Rowland,4929945499499727,720,,14763 East Algeria Ave.,Wisconsin Rapids,USA,712487,Ella@rhoncus.net,Shana *Stewart,796-794-6077,MN,96477,84372,Hedley Rowland,350.6,2,165,,0,0.00
Macey Pickett,4279544109015688,1022,,24290 North Australia Way,Pine Bluff,USA,548408,Michelle@volutpat.edu,Zenia *Wood,057-548-9094,ME,3164,22584,Macey Pickett,650.2,3,204,,0,0.00
Ashely Austin,6011537887489024,521,,21065 West Greenland Way,Paducah,USA,952735,Hedley@blandit.net,Ashely *Austin,622-701-8922,PA,31525,31525,Ashely Austin,124,3,39,0,1,1.00
Martena Acevedo,4072898377708047,818,,90071 North Peabody Ct.,Alpharetta,USA,677374,Anika@amet.edu,Martena *Acevedo,692-094-0329,AZ,12795,12795,Martena Acevedo,5418.8,2,2550,,1,1.00
Maryam Guy,4929822237757825,320,,37677 East Norway St.,Brookings,USA,353784,Petra@lobortis.edu,Veda *Humphrey,860-575-5697,MD,62926,17682,Maryam Guy,2128.5,2,990,,0,1.00
Sasha Franklin,4716160184507647,621,,88072 North Morocco Way,Somerville,USA,716924,Kyle@natoque.net,Sasha *Franklin,093-661-1339,GA,29823,29823,Sasha Franklin,4908.8,7,660,,1,0.00
Tamara Osborne,4929158814754426,320,,84690 West Elmira Ave.,Scottsbluff,USA,410996,Russell@mus.org,Tamara *Osborne,976-616-4554,VA,45819,45819,Tamara Osborne,3491,3,1085,0,1,0.00
Keiko Harper,4485736027367734,219,,53141 West Marshall Islands Blvd.,Burlington,USA,438071,Cameran@ante.edu,Xenos *Raymond,346-742-9385,AK,59289,26744,Keiko Harper,616.2,2,290,,0,1.00
Coby Parks,379557248443311,519,,38502  Cambodia Blvd.,San Francisco,USA,883715,Glenna@fames.gov,Coby *Parks,943-283-8934,TN,38292,38292,Coby Parks,262.4,3,82.3,,1,0.00
Clayton Harrell,5518059005120720,1119,,35758  Pitcairn Ct.,Olympia,USA,189691,Drake@velit.org,Clayton *Harrell,561-849-9819,CT,89958,89958,Clayton Harrell,343.2,3,107.7,,1,0.00
Sylvester Barlow,4556010757140487,418,,9717 North Afghanistan Ave.,Spokane Valley,USA,376134,Emi@ornare.edu,Sylvester *Barlow,914-753-3385,NV,94894,94894,Sylvester Barlow,217.8,3,68.3,,1,0.00
Craig Mckee,5312805447980735,522,,19664 North Malawi Way,Waycross,USA,105355,Ivy@eros.com,Craig *Mckee,634-444-4811,VT,61077,61077,Craig Mckee,353.9,3,110,0,1,0.00
Haviva Lane,4716475398881434,221,,61427 West South Georgia and The South Sandwich Islands Way,Tupelo,USA,564686,Chiquita@ipsum.gov,Haviva *Lane,204-341-7852,TN,87318,87318,Haviva Lane,2103.8,2,990,,1,1.00
Halee Houston,4929105306788776,219,,83820 East Chile St.,Fairmont,USA,544316,Whilemina@metus.org,Brian *Frost,260-979-8931,OK,44148,51722,Halee Houston,223.1,2,105,,0,0.00
Keith Hardy,5456217251851208,922,,99158 West Bell St.,Chico,USA,716,Jackson@Vivamus.gov,Keith *Hardy,043-034-1824,MN,25924,25924,Keith Hardy,1572.5,2,740,,1,1.00
Kyla Ewing,5520391671787375,720,,79163 South Boston Blvd.,Westfield,USA,183997,Abbot@risus.us,Joelle *Fletcher,343-222-4812,OK,97779,84417,Kyla Ewing,5615.3,5,1057,,0,0.00
Hayden Villarreal,4532272778825038,218,,92761  Wallis and Futuna St.,Chicago,USA,600120,Azalia@congue.org,Kareem *Pearson,063-911-0081,PA,52338,27072,Hayden Villarreal,39.2,2,18.5,,0,1.00
Mufutau Golden,5420713638031723,420,,41858 East El Salvador Ln.,Santa Barbara,USA,164387,Keaton@Phasellus.org,Joelle *Humphrey,826-022-6180,TX,78575,50074,Mufutau Golden,2584.7,5,482,1043.7,0,0.00
Cheyenne Mckay,4916168943962043,119,,83795 West Elko St.,Bend,USA,429281,Karly@auctor.net,Yoshio *Forbes,221-544-6691,NV,99942,98128,Cheyenne Mckay,100.9,2,47.5,,0,0.00
Vladimir Sparks,5578152819530197,1120,,1138 North Morgan City Ln.,Pullman,USA,212079,Cruz@Quisque.org,Finn *Young,666-084-6427,VT,26193,49196,Vladimir Sparks,320.9,3,100.7,,0,0.00
Scarlett Wilkerson,4891576336268753,419,,52176 East Armenia Ct.,Sister Bay,USA,604615,Jasper@nunc.com,Scarlett *Wilkerson,351-989-5921,KY,45808,45808,Scarlett Wilkerson,668.2,3,208.7,0,1,0.00
Wanda Petersen,4929919058423022,423,,48203 North Bulgaria St.,Edina,USA,399686,Anika@sociosqu.gov,Clayton *Castaneda,453-014-4136,SC,97006,53145,Wanda Petersen,202,2,101,,0,0.00
Kasper Chase,4916117263849272,1122,,56100 South Brunei Darussalam Way,Rolla,USA,497799,Vaughan@diam.org,Aileen *Reyes,244-062-9537,OR,42306,94672,Kasper Chase,1085.9,4,255.5,,0,1.00
Meghan Maddox,6011469378145644,1023,,72472  Viet Nam St.,Bend,USA,946139,Madison@porttitor.com,Martin *Juarez,545-938-0724,UT,50043,35879,Meghan Maddox,456.9,2,215,,0,0.00
Carly Coleman,5216033819104159,623,,46383  Chile St.,Chicago Heights,USA,101,Lyle@congue.net,Kylan *Cooper,759-862-6578,OH,90824,13358,Carly Coleman,,0,,,0,0.00
Aladdin William,5220810264447959,1118,,39100 East Argentina St.,Muncie,USA,115154,Lev@ullamcorper.edu,Aladdin *William,380-821-1398,MT,13616,13616,Aladdin William,3533.8,3,1090.7,0,1,0.00
Frances Wilcox,5446727957008260,922,,4809 East Saint Helena Ave.,La Habra,USA,285961,Bruce@magna.us,Coby *Potts,531-544-9585,NY,90268,3391,Frances Wilcox,1399.3,3,439,,0,0.00
Drew Wynn,4539575823205631,921,,47595 West Equatorial Guinea St.,Berkeley,USA,512751,Jescie@tempus.org,Whoopi *Glass,612-146-4926,TX,5088,88892,Drew Wynn,70,2,33,,0,0.00
Hop Atkins,4532767960009440,223,,73504 West Canada Ct.,San Angelo,USA,774367,Emma@ornare.edu,Hop *Atkins,351-046-5804,WV,75743,75743,Hop Atkins,1445,4,340,,1,0.00
Sopoline Richard,6011091500291854,1020,,21801 South Macon Ave.,Olean,USA,978036,Lael@commodo.gov,Whilemina *Rosa,848-022-8689,TN,88565,48140,Sopoline Richard,90.3,3,28.3,1434.2,0,1.00
Reed Mckee,373955840041598,519,,81761 West Guadeloupe Way,Kingsport,USA,894921,Hasad@elementum.org,Larissa *Casey,617-581-0583,DE,35759,3072,Reed Mckee,,0,,,0,0.00
Ulysses Johnson,5424643735211660,1120,,2155 West Appleton Ave.,Meriden,USA,134,Raja@pharetra.com,Ryan *Francis,709-296-1614,SC,22987,23129,Ulysses Johnson,273.8,2,130,56.9,0,0.00
Linus Cardenas,5396488822811079,819,,10264 East Cambodia St.,Fajardo,USA,148,Fritz@lacus.com,Fletcher *Burris,497-214-0667,SD,90385,50838,Linus Cardenas,3861.1,3,1211.3,,0,0.00
Callie Gates,5394457589054662,919,,83262  Brunei Darussalam St.,Asbury Park,USA,153,Brittany@dictum.edu,Palmer *Dillon,208-836-7966,VA,40277,47701,Callie Gates,,0,,,0,0.00
Madaline Joseph,4539166919024845,1119,,75719  South Georgia and The South Sandwich Islands Ct.,Alhambra,USA,669486,Merritt@fames.com,Madaline *Joseph,559-937-3071,MS,64603,64603,Madaline Joseph,1505.6,3,472.3,,1,0.00
Yuli Carrillo,4556191635208157,420,,29031  United States Blvd.,Brunswick,USA,671183,Remedios@commodo.org,Yuli *Carrillo,378-920-1705,VA,36160,36160,Yuli Carrillo,3315,2,1560,,1,0.00
Ronan Steele,4485001873384410,718,,22894 West Blacksburg Blvd.,Lynn,USA,463619,Paul@placerat.gov,Cally *Shaffer,805-790-1961,AZ,57585,31285,Ronan Steele,482.8,3,154,,0,1.00
Arden Kennedy,5269296489463983,119,,33918 South Clovis Ln.,Franklin,USA,335,Lunea@dignissim.edu,Bruce *Hebert,003-548-8291,DE,88179,5396,Arden Kennedy,1551.2,3,486.7,,0,0.00
Dora Hurley,5282555891930167,719,,74925 North Bosnia and Herzegovina Way,Villa Park,USA,101248,Iola@risus.gov,Dora *Hurley,939-041-8566,OK,39301,39301,Dora Hurley,599.2,3,186.7,0,1,0.00
Nyssa Osborn,4716700843842800,1021,,21465 East Tuvalu Way,Las Cruces,USA,669614,Malik@nec.edu,Nyssa *Osborn,972-944-8547,CO,49203,49203,Nyssa Osborn,678.4,3,213.3,0,1,1.00
Harlan Bender,5572337170163896,223,,95618  Bahrain St.,Gainesville,USA,298703,Uta@velit.gov,Harlan *Bender,741-274-1455,WI,11856,11856,Harlan Bender,3840.9,3,1205,,1,0.00
Abraham Jordan,370136781456326,1020,,18348  Denmark Blvd.,Poughkeepsie,USA,902538,Bethany@imperdiet.edu,Abraham *Jordan,792-737-5032,NC,56650,56650,Abraham Jordan,1481.8,2,690,0,1,1.00
Pamela Howell,4716958295408286,619,,40115 North Palau Ct.,Lakeland,USA,713081,Martin@adipiscing.net,Aphrodite *Ross,997-463-0552,DC,23678,97819,Pamela Howell,3400,3,1066.7,,0,0.00
Neve Maddox,5491529387862512,1020,,3844 East Pitcairn Ct.,San Bernardino,USA,285342,Tad@ultricies.com,Neve *Maddox,404-252-5151,OK,74944,74944,Neve Maddox,1799.8,5,338,0,1,1.00
Giselle Haynes,4929908247044476,423,,10201  Kalispell Ln.,Amesbury,USA,623553,Jaden@erat.com,Giselle *Haynes,375-267-1137,WA,797,797,Giselle Haynes,253.9,3,79.7,,1,1.00
Willa Gillespie,4024007107454729,820,,91977 North Colombia Blvd.,Seal Beach,USA,761954,Amena@mi.edu,Willa *Gillespie,141-568-3166,WV,16983,16983,Willa Gillespie,1168.8,2,550,,1,0.00
Heidi Floyd,5358513860926038,1121,,21246 South Turks and Caicos Islands Ln.,Signal Hill,USA,282375,Theodore@habitant.com,Chase *Kelly,931-232-7164,AZ,85757,17403,Heidi Floyd,275.9,2,130,,0,0.00
Malik Moss,5132535953555641,419,,2892 East Garden Grove St.,Plainfield,USA,218543,Richard@justo.org,Malik *Moss,983-870-4555,KS,89623,89623,Malik Moss,600.3,2,282.5,,1,0.00
Lila Ford,4556458194296026,1120,,14264  Ukraine St.,Bay St. Louis,USA,556899,Ciaran@est.us,Lila *Ford,944-882-8310,GA,54864,54864,Lila Ford,28.5,2,13.5,0,1,0.00
Illana Harrison,4024007186569025,320,,69525 West Malta Way,Salt Lake City,USA,715053,Baxter@ullamcorper.org,Illana *Harrison,499-194-1396,CT,26024,26024,Illana Harrison,239.1,2,112.5,,1,0.00
Lyle Farrell,5532209718808549,1120,,64774 North New Zealand Blvd.,Vermillion,USA,143443,Stacey@nonummy.gov,Lyle *Farrell,795-332-0013,IL,49891,49891,Lyle Farrell,354,2,167,0,1,0.00
Raymond Yang,4024007186690672,922,,59673 North Saint Pierre and Miquelon Ln.,Dunkirk,USA,375048,Kadeem@vel.net,Raymond *Yang,420-939-3877,NJ,13722,13722,Raymond Yang,256.1,2,120.5,,1,0.00
Wade Ingram,6011287585368068,721,,86062 North Central African Republic Blvd.,Quincy,USA,973834,Chandler@volutpat.net,Wade *Ingram,988-283-2174,KS,71536,71536,Wade Ingram,775.6,2,365,,1,0.00
Channing Mathis,4929509099352239,423,,23144  Trinidad and Tobago Ct.,Danville,USA,627174,Sacha@lacinia.net,Channing *Mathis,818-070-1787,MA,23312,23312,Channing Mathis,807.5,2,380,,1,0.00
Lucian Burt,4716938041303882,1020,,7302 East Colombia Way,Westlake Village,USA,359122,Dolan@molestie.com,Lucian *Burt,464-471-8598,FL,87377,87377,Lucian Burt,,0,,,1,0.00
Fulton Ortiz,4485374520333753,323,,67535  British Indian Ocean Territory Ave.,South Burlington,USA,612592,Odysseus@amet.us,Fulton *Ortiz,855-038-8403,AZ,61015,61015,Fulton Ortiz,350.6,2,165,0,1,0.00
Xyla Skinner,4024007123731480,1122,,37281  Gettysburg Ave.,Kearns,USA,385670,Walter@lacus.org,Xyla *Skinner,633-416-5419,NM,11756,11756,Xyla Skinner,295.5,2,136,0,1,0.00
Lucian Harrington,340145432494302,218,,26764 West Aruba Way,Elizabeth City,USA,918722,Drew@bibendum.com,Lucian *Harrington,702-137-1054,PA,69557,69557,Lucian Harrington,456.9,2,215,,1,0.00
Yasir Hickman,5194552727279627,919,,38026 West Angola St.,Aberdeen,USA,325765,Barrett@pretium.org,Yasir *Hickman,409-256-0162,ND,73779,73779,Yasir Hickman,21.2,2,10,,1,0.00
Oren Maynard,4716215362475833,1223,,98850  Belarus Ave.,San Rafael,USA,552746,Abbot@dis.org,Oren *Maynard,636-525-7202,HI,26915,26915,Oren Maynard,196.6,2,92.5,,1,0.00
Joel Mcclain,4024007123814823,818,,37071 West Hawaiian Gardens Ln.,Eau Claire,USA,747783,Vincent@In.edu,Joel *Mcclain,360-649-7461,OH,24011,24011,Joel Mcclain,,0,,0,1,0.00
Ignatius Molina,5428632550673324,921,,50947  Ashland Blvd.,Minnetonka,USA,309351,Jakeem@dis.com,Ignatius *Molina,708-992-0282,UT,89774,89774,Ignatius Molina,,0,,,1,0.00
Lamar Barlow,379114556318832,1122,,49358 West Canada Ave.,Greensburg,USA,871874,Sigourney@convallis.org,Lamar *Barlow,011-639-8775,OK,93496,93496,Lamar Barlow,775.6,2,365,,1,0.00
Rajah Greene,4539174755918153,722,,10059 West Congo Blvd.,San Dimas,USA,384193,Howard@nulla.us,Rajah *Greene,183-068-8686,IA,83349,83349,Rajah Greene,488.7,2,230.5,0,1,0.00
Ian Walton,4613361072043901,222,,77158  Tunisia Way,Seal Beach,USA,560734,Octavius@metus.us,Ian *Walton,415-881-8877,AK,50284,50284,Ian Walton,287.9,2,135.5,,1,0.00
Aiko Sparks,5223972937939866,722,,92564 East Bhutan Ave.,Dayton,USA,334,Conan@imperdiet.us,Aiko *Sparks,541-818-2612,NY,28965,28965,Aiko Sparks,386.8,2,182,,1,0.00
Denton Bryant,4556003515566465,318,,3965 North Cameroon Way,Covington,USA,668699,Britanney@tempus.com,Denton *Bryant,660-446-6194,WI,59835,59835,Denton Bryant,,0,,0,1,0.00
Hadassah Frederick,5464152750344597,721,,31689 West Meadville Way,Florence,USA,319395,Martin@rutrum.com,Hadassah *Frederick,300-277-0539,IN,68155,68155,Hadassah Frederick,354.9,2,167,0,1,0.00
Uta Stephenson,4539498454584101,821,,98479 West Moldova Way,Crown Point,USA,690027,Colton@massa.org,Uta *Stephenson,648-119-1409,HI,19241,19241,Uta Stephenson,,0,,,1,0.00
Naida Santana,344125101272540,622,,96967 West Luxembourg Ave.,Green Bay,USA,840451,Hasad@Cras.gov,Naida *Santana,017-931-8360,LA,69460,69460,Naida Santana,354.9,2,167,,1,0.00
Caleb Salinas,4024007170585888,219,,75795 South Madagascar Ln.,Hoboken,USA,588251,Clio@Curabitur.com,Caleb *Salinas,434-514-9610,MS,98894,98894,Caleb Salinas,563.1,2,265,,1,0.00
