ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,VEHICLE_TYPE,MSRP,VEHICLE_BRAND,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME
10223,37,10000,1,370000,2/20/2004 0:00,Shipped,1,2,2004,Light,95000,Chervolet,"Australian Shipping, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10237,23,10000,7,230000,4/5/2004 0:00,Shipped,2,4,2004,Light,95000,Chervolet,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael
10251,28,10000,2,280000,5/18/2004 0:00,Shipped,2,5,2004,Light,95000,Chervolet,Tekni Shipping Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William
10263,34,10000,2,340000,6/28/2004 0:00,Shipped,2,6,2004,Light,95000,Chervolet,Transport Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,United States,NA,King,Julie
10275,45,92000,1,4140000,7/23/2004 0:00,Shipped,3,7,2004,Light,95000,Chervolet,La Rochelle Transports,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
10285,36,10000,6,360000,8/27/2004 0:00,Shipped,3,8,2004,Light,95000,Chervolet,Marta's Logistics Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta
10299,23,10000,9,230000,9/30/2004 0:00,Shipped,3,9,2004,Light,95000,Chervolet,"Logistics of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10309,41,10000,5,410000,10/15/2004 0:00,Shipped,4,10,2004,Light,95000,Chervolet,Baane Logistics Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10318,46,94000,1,4324000,11/2/2004 0:00,Shipped,4,11,2004,Light,95000,Chervolet,Transport Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
10329,42,10000,1,420000,11/15/2004 0:00,Shipped,4,11,2004,Light,95000,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,United States,NA,Yu,Kwai
10341,41,10000,9,410000,11/24/2004 0:00,Shipped,4,11,2004,Light,95000,Chervolet,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10361,20,72000,13,1440000,12/17/2004 0:00,Shipped,4,12,2004,Light,95000,Chervolet,Shipping And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
10375,21,34000,12,714000,2/3/2005 0:00,Shipped,1,2,2005,Light,95000,Chervolet,La Rochelle Transports,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
10388,42,76000,4,3192000,3/3/2005 0:00,Shipped,1,3,2005,Light,95000,Chervolet,FunTransportIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10403,24,10000,7,240000,4/8/2005 0:00,Shipped,2,4,2005,Light,95000,Chervolet,"UK Shipping, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10417,66,10000,2,660000,5/13/2005 0:00,Disputed,2,5,2005,Light,95000,Chervolet,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10103,26,10000,11,260000,1/29/2003 0:00,Shipped,1,1,2003,Utility,21400,Chervolet,Baane Logistics Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas
10112,29,10000,1,290000,3/24/2003 0:00,Shipped,1,3,2003,Utility,21400,Chervolet,"Volvo Model Logistics, Co",0921-12 3555,Berguvsv�gen  8,,Lule�,,S-958 22,Sweden,EMEA,Berglund,Christina
10126,38,10000,11,380000,5/28/2003 0:00,Shipped,2,5,2003,Utility,21400,Chervolet,"Corrida Auto Logistics, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart�n
10140,37,10000,11,370000,7/24/2003 0:00,Shipped,3,7,2003,Utility,21400,Chervolet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
10150,45,10000,8,450000,9/19/2003 0:00,Shipped,3,9,2003,Utility,21400,Chervolet,"Dragon Shipping, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,079903,Singapore,Japan,Natividad,Eric
10163,21,10000,1,210000,10/20/2003 0:00,Shipped,4,10,2003,Utility,21400,Chervolet,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,United States,NA,Hernandez,Maria
10174,34,10000,4,340000,11/6/2003 0:00,Shipped,4,11,2003,Utility,21400,Chervolet,"Australian Transport Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
10183,23,10000,8,230000,11/13/2003 0:00,Shipped,4,11,2003,Utility,21400,Chervolet,"Classic Transport Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca
10194,42,10000,11,420000,11/25/2003 0:00,Shipped,4,11,2003,Utility,21400,Chervolet,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary
10206,47,10000,6,470000,12/5/2003 0:00,Shipped,4,12,2003,Utility,21400,Chervolet,Canadian Transport Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi
10215,35,10000,3,350000,1/29/2004 0:00,Shipped,1,1,2004,Utility,21400,Chervolet,West Coast Shipping Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,United States,NA,Thompson,Steve
10228,29,10000,2,290000,3/10/2004 0:00,Shipped,1,3,2004,Utility,21400,Chervolet,Cambridge Shipping Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung
10245,34,10000,9,340000,5/4/2004 0:00,Shipped,2,5,2004,Utility,21400,Chervolet,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,United States,NA,Murphy,Leslie
10258,32,10000,6,320000,6/15/2004 0:00,Shipped,2,6,2004,Utility,21400,Chervolet,"Tokyo Shipping, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10270,21,10000,9,210000,7/19/2004 0:00,Shipped,3,7,2004,Utility,21400,Chervolet,Shipping And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
10280,34,10000,2,340000,8/17/2004 0:00,Shipped,3,8,2004,Utility,21400,Chervolet,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo
10291,37,10000,11,370000,9/8/2004 0:00,Shipped,3,9,2004,Utility,21400,Chervolet,Scandinavian Transport Ideas,0695-34 6555,?kergatan 24,,Br�cke,,S-844 67,Sweden,EMEA,Larsson,Maria
10304,47,10000,6,470000,10/11/2004 0:00,Shipped,4,10,2004,Utility,21400,Chervolet,Auto Associ?s & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel
10312,48,10000,3,480000,10/21/2004 0:00,Shipped,4,10,2004,Utility,21400,Chervolet,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie
10322,40,10000,1,400000,11/4/2004 0:00,Shipped,4,11,2004,Utility,21400,Chervolet,Online Transport Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie
10333,26,10000,3,260000,11/18/2004 0:00,Shipped,4,11,2004,Utility,21400,Chervolet,Logistics Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,United States,NA,Murphy,Julie
10347,30,10000,1,300000,11/29/2004 0:00,Shipped,4,11,2004,Utility,21400,Chervolet,"Australian Shipping, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10357,32,10000,10,320000,12/10/2004 0:00,Shipped,4,12,2004,Utility,21400,Chervolet,Logistics Transports Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,United States,NA,Nelson,Valarie
10369,41,10000,2,410000,1/20/2005 0:00,Shipped,1,1,2005,Utility,21400,Chervolet,Shipping For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen
10381,36,10000,3,360000,2/17/2005 0:00,Shipped,1,2,2005,Utility,21400,Chervolet,Corporate Transport Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
10391,24,10000,4,240000,3/9/2005 0:00,Shipped,1,3,2005,Utility,21400,Chervolet,"Anna's Transport, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna
10411,23,10000,9,230000,5/1/2005 0:00,Shipped,2,5,2005,Utility,21400,Chervolet,Qu?bec Home Shipping Network,(514) 555-8054,43 rue St. Laurent,,Montr�al,Qu�bec,H1J 1C3,Canada,NA,Fresni�re,Jean
10424,50,10000,6,500000,5/31/2005 0:00,In Process,2,5,2005,Utility,21400,Chervolet,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10107,39,99000,5,3861000,2/24/2003 0:00,Shipped,1,2,2003,Light,11800,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10120,29,96000,3,2784000,4/29/2003 0:00,Shipped,2,4,2003,Light,11800,Chervolet,"Australian Shipping, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10134,27,10000,5,270000,7/1/2003 0:00,Shipped,3,7,2003,Light,11800,Chervolet,Lyon Shipping,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
10145,37,10000,9,370000,8/25/2003 0:00,Shipped,3,8,2003,Light,11800,Chervolet,Logistics4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie
10159,37,10000,17,370000,10/10/2003 0:00,Shipped,4,10,2003,Light,11800,Chervolet,Corporate Transport Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
10168,27,10000,4,270000,10/28/2003 0:00,Shipped,4,10,2003,Light,11800,Chervolet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
10180,42,10000,12,420000,11/11/2003 0:00,Shipped,4,11,2003,Light,11800,Chervolet,Daedalus Designs Imports,20.16.1555,"184, chauss�e de Tournai",,Lille,,59000,France,EMEA,Ranc�,Martine
10188,38,96000,4,3648000,11/18/2003 0:00,Shipped,4,11,2003,Light,11800,Chervolet,Herkku Transports,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10201,24,10000,5,240000,12/1/2003 0:00,Shipped,4,12,2003,Light,11800,Chervolet,Logistics Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie
10210,23,10000,2,230000,1/12/2004 0:00,Shipped,1,1,2004,Light,11800,Chervolet,Osaka Shipping Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
10223,47,10000,4,470000,2/20/2004 0:00,Shipped,1,2,2004,Light,11800,Chervolet,"Australian Shipping, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10236,22,10000,1,220000,4/3/2004 0:00,Shipped,2,4,2004,Light,11800,Chervolet,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa
10251,44,10000,5,440000,5/18/2004 0:00,Shipped,2,5,2004,Light,11800,Chervolet,Tekni Shipping Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William
10263,40,10000,5,400000,6/28/2004 0:00,Shipped,2,6,2004,Light,11800,Chervolet,Transport Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie
10275,22,10000,4,220000,7/23/2004 0:00,Shipped,3,7,2004,Light,11800,Chervolet,La Rochelle Transports,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
10285,47,10000,9,470000,8/27/2004 0:00,Shipped,3,8,2004,Light,11800,Chervolet,Marta's Logistics Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta
10298,39,96000,1,3744000,9/27/2004 0:00,Shipped,3,9,2004,Light,11800,Chervolet,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine
10308,34,10000,2,340000,10/15/2004 0:00,Shipped,4,10,2004,Light,11800,Chervolet,Logistics Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve
10318,45,10000,4,450000,11/2/2004 0:00,Shipped,4,11,2004,Light,11800,Chervolet,Transport Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
10329,20,10000,2,200000,11/15/2004 0:00,Shipped,4,11,2004,Light,11800,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10339,40,68000,4,2720000,11/23/2004 0:00,Shipped,4,11,2004,Light,11800,Chervolet,"Tokyo Shipping, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10361,26,51000,8,1326000,12/17/2004 0:00,Shipped,4,12,2004,Light,11800,Chervolet,Shipping And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian
10374,39,10000,5,390000,2/2/2005 0:00,Shipped,1,2,2005,Light,11800,Chervolet,"Australian Transport Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
10388,50,44000,5,2200000,3/3/2005 0:00,Shipped,1,3,2005,Light,11800,Chervolet,FunTransportIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10402,45,10000,1,450000,4/7/2005 0:00,Shipped,2,4,2005,Light,11800,Chervolet,Auto Canal+ Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique
10417,45,10000,5,450000,5/13/2005 0:00,Disputed,2,5,2005,Light,11800,Chervolet,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10107,27,10000,4,270000,2/24/2003 0:00,Shipped,1,2,2003,Light,19300,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10120,46,10000,2,460000,4/29/2003 0:00,Shipped,2,4,2003,Light,19300,Chervolet,"Australian Shipping, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10134,31,10000,4,310000,7/1/2003 0:00,Shipped,3,7,2003,Light,19300,Chervolet,Lyon Shipping,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel
10145,33,10000,8,330000,8/25/2003 0:00,Shipped,3,8,2003,Light,19300,Chervolet,Logistics4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie
10159,22,10000,16,220000,10/10/2003 0:00,Shipped,4,10,2003,Light,19300,Chervolet,Corporate Transport Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie
10168,20,10000,3,200000,10/28/2003 0:00,Shipped,4,10,2003,Light,19300,Chervolet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
10180,41,10000,11,410000,11/11/2003 0:00,Shipped,4,11,2003,Light,19300,Chervolet,Daedalus Designs Imports,20.16.1555,"184, chauss�e de Tournai",,Lille,,59000,France,EMEA,Ranc�,Martine
10188,45,10000,3,450000,11/18/2003 0:00,Shipped,4,11,2003,Light,19300,Chervolet,Herkku Transports,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel
10201,49,10000,4,490000,12/1/2003 0:00,Shipped,4,12,2003,Light,19300,Chervolet,Logistics Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie
10210,34,10000,1,340000,1/12/2004 0:00,Shipped,1,1,2004,Light,19300,Chervolet,Osaka Shipping Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory
10223,49,10000,3,490000,2/20/2004 0:00,Shipped,1,2,2004,Light,19300,Chervolet,"Australian Shipping, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter
10237,39,10000,9,390000,4/5/2004 0:00,Shipped,2,4,2004,Light,19300,Chervolet,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael
10251,43,10000,4,430000,5/18/2004 0:00,Shipped,2,5,2004,Light,19300,Chervolet,Tekni Shipping Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William
10263,41,10000,4,410000,6/28/2004 0:00,Shipped,2,6,2004,Light,19300,Chervolet,Transport Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie
10275,36,10000,3,360000,7/23/2004 0:00,Shipped,3,7,2004,Light,19300,Chervolet,La Rochelle Transports,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine
10285,27,10000,8,270000,8/27/2004 0:00,Shipped,3,8,2004,Light,19300,Chervolet,Marta's Logistics Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta
10299,29,10000,11,290000,9/30/2004 0:00,Shipped,3,9,2004,Light,19300,Chervolet,"Logistics of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10308,20,10000,1,200000,10/15/2004 0:00,Shipped,4,10,2004,Light,19300,Chervolet,Logistics Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve
10318,37,10000,3,370000,11/2/2004 0:00,Shipped,4,11,2004,Light,19300,Chervolet,Transport Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung
10329,26,10000,3,260000,11/15/2004 0:00,Shipped,4,11,2004,Light,19300,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10339,39,76000,3,2964000,11/23/2004 0:00,Shipped,4,11,2004,Light,19300,Chervolet,"Tokyo Shipping, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko
10362,22,10000,4,220000,1/5/2005 0:00,Shipped,1,1,2005,Light,19300,Chervolet,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri
10374,22,10000,1,220000,2/2/2005 0:00,Shipped,1,2,2005,Light,19300,Chervolet,"Australian Transport Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony
10388,21,86000,7,1806000,3/3/2005 0:00,Shipped,1,3,2005,Light,19300,Chervolet,FunTransportIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta
10403,66,10000,9,660000,4/8/2005 0:00,Shipped,2,4,2005,Light,19300,Chervolet,"UK Shipping, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth
10417,56,10000,4,560000,5/13/2005 0:00,Disputed,2,5,2005,Light,19300,Chervolet,Euro+ Shipping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego
10105,50,10000,2,500000,2/11/2003 0:00,Shipped,1,2,2003,Utility,13600,Chervolet,Danish Wholesale Imports,31 12 3555,Vinb�ltet 34,,Kobenhavn,,1734,Denmark,EMEA,Petersen,Jytte
10119,46,10000,11,460000,4/28/2003 0:00,Shipped,2,4,2003,Utility,13600,Chervolet,Salzburg Shipping,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg
10129,33,10000,2,330000,6/12/2003 0:00,Shipped,2,6,2003,Utility,13600,Chervolet,"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK,EMEA,Brown,Ann
10143,49,10000,15,490000,8/10/2003 0:00,Shipped,3,8,2003,Utility,13600,Chervolet,Logistics Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA,NA,Tam,Wing C
10155,32,10000,13,320000,10/6/2003 0:00,Shipped,4,10,2003,Utility,13600,Chervolet,"Logistics of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti
10167,44,10000,9,440000,10/23/2003 0:00,Cancelled,4,10,2003,Utility,13600,Chervolet,Scandinavian Transport Ideas,0695-34 6555,?kergatan 24,,Br�cke,,S-844 67,Sweden,EMEA,Larsson,Maria
10178,24,10000,12,240000,11/8/2003 0:00,Shipped,4,11,2003,Utility,13600,Chervolet,Alpha Shipping,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France,EMEA,Roulet,Annette
10186,26,10000,9,260000,11/14/2003 0:00,Shipped,4,11,2003,Utility,13600,Chervolet,"Double Decker Transport Stores, Ltd",(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK,EMEA,Hardy,Thomas
10197,45,10000,6,450000,11/26/2003 0:00,Shipped,4,11,2003,Utility,13600,Chervolet,Enaco Distributors,(93) 203 4555,"Rambla de Catalu�a, 23",,Barcelona,,08022,Spain,EMEA,Saavedra,Eduardo
10209,39,10000,8,390000,1/9/2004 0:00,Shipped,1,1,2004,Utility,13600,Chervolet,"Men 'R' US Retailers, Ltd.",2155554369,6047 Douglas Av.,,Los Angeles,CA,,USA,NA,Chandler,Michael
10222,49,10000,12,490000,2/19/2004 0:00,Shipped,1,2,2004,Utility,13600,Chervolet,Collectable Logistics Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA,NA,Thompson,Valarie
10248,20,10000,3,200000,5/7/2004 0:00,Cancelled,2,5,2004,Utility,13600,Chervolet,Land of Logistics Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai
10261,27,10000,1,270000,6/17/2004 0:00,Shipped,2,6,2004,Utility,13600,Chervolet,Qu?bec Home Shipping Network,(514) 555-8054,43 rue St. Laurent,,Montr�al,Qu�bec,H1J 1C3,Canada,NA,Fresni�re,Jean
10273,30,10000,4,300000,7/21/2004 0:00,Shipped,3,7,2004,Utility,13600,Chervolet,Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium,EMEA,Dewey,Catherine
10283,25,10000,6,250000,8/20/2004 0:00,Shipped,3,8,2004,Utility,13600,Chervolet,"Royal Canadian Shipping, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada,NA,Lincoln,Elizabeth
10295,24,10000,1,240000,9/10/2004 0:00,Shipped,3,9,2004,Utility,13600,Chervolet,Transports4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA,NA,Yoshido,Juri
10307,22,10000,9,220000,10/14/2004 0:00,Shipped,4,10,2004,Utility,13600,Chervolet,"Classic Transport Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca
